 release_year |                                                                            title                                                                             |    budget    
         2011 | Red State (2011)                                                                                                                                             |   4000000.00
         2011 | Rehab (2011)                                                                                                                                                 |    150000.00
         2011 | Sleep Tight (2011)                                                                                                                                           |   5000000.00
         2011 | Stake Land (2010)                                                                                                                                            |    650000.00
         2011 | State of Emergency (2011)                                                                                                                                    |   1300000.00
         2011 | Super Hybrid (2010)                                                                                                                                          |  13000000.00
         2011 | The Collapsed (2011)                                                                                                                                         |    150000.00
         2011 | The Dark Lurking (2009)                                                                                                                                      |   1000000.00
         2011 | The Depraved (2011)                                                                                                                                          |   3000000.00
         2011 | The Ideal (2011)                                                                                                                                             |   1000000.00
         2011 | The Life and Death of a Porno Gang (2009)                                                                                                                    |    163800.00
         2011 | The Passing (2011)                                                                                                                                           |   1000000.00
         2011 | The Silent House (2010)                                                                                                                                      |      6000.00
         2011 | The Squad (2011)                                                                                                                                             |   1300000.00
         2011 | The Traveler (2010)                                                                                                                                          |   4000000.00
         2011 | The Violent Kind (2010)                                                                                                                                      |   1000000.00
         2011 | The Ward (2010)                                                                                                                                              |  10000000.00
         2011 | Vanishing on 7th Street (2010)                                                                                                                               |  10000000.00
         2010 | After.Life (2009)                                                                                                                                            |   4500000.00
         2010 | Bear (2010)                                                                                                                                                  |  10000000.00
         2010 | Bedevilled (2010)                                                                                                                                            |    700000.00
         2010 | Chain Letter (2009)                                                                                                                                          |   5000000.00
         2010 | Christopher Roth (2010)                                                                                                                                      |   2749500.00
         2010 | Darkening Sky (2010)                                                                                                                                         |    200000.00
         2010 | Deadline (2009)                                                                                                                                              |   1800000.00
         2010 | Death Bed: The Bed That Eats (1977)                                                                                                                          |     30000.00
         2010 | Devil (2010)                                                                                                                                                 |  10000000.00
         2010 | Don't Fall Asleep (2010)                                                                                                                                     |    200000.00
         2010 | Eat Me! (2010)                                                                                                                                               |      8000.00
         2010 | Exorcismus (2010)                                                                                                                                            |   1800000.00
         2010 | Grey Skies (2010)                                                                                                                                            |   1500000.00
         2010 | Hatchet (2006)                                                                                                                                               |   1500000.00
         2010 | Hatchet II (2010)                                                                                                                                            |    800000.00
         2010 | Heartless (2009)                                                                                                                                             |   5000000.00
         2010 | Hisss (2010)                                                                                                                                                 |   6000000.00
         2010 | In Their Sleep (2010)                                                                                                                                        |   1638000.00
         2010 | It's a Wonderful Afterlife (2010)                                                                                                                            |  10000000.00
         2010 | Junkyard Dog (2010)                                                                                                                                          |   1500000.00
         2010 | Metamorphosis (2007)                                                                                                                                         |   6000000.00
         2010 | Mr. Hush (2010)                                                                                                                                              |    200000.00
         2010 | Perfect Life (2010)                                                                                                                                          |  10000000.00
         2010 | President's Day (2010)                                                                                                                                       |      5000.00
         2010 | Psych:9 (2010)                                                                                                                                               |   5000000.00
         2010 | Rare Exports: A Christmas Tale (2010)                                                                                                                        |   2279160.00
         2010 | Stag Night (2008)                                                                                                                                            |   1500000.00
